sample_id,scenario,time_s,C_mol_m3,T_K,n_g_mol,P_true_Pa,P_sensor_Pa,Failure_Label,Trajectory_Label,A,Ea,UA,tau
0,WARNING,0.0,1184.6997723375407,309.31323302908646,0.0035660882747778513,458.53301862401867,0.0,0,0,12398556.064197708,75969.80601401598,8.358266479475143,1.810838995635681
0,WARNING,0.12531328320802004,1184.6994999040805,309.31311815671427,0.003574261278581657,459.58374512256154,1700.0,0,0,12398556.064197708,75969.80601401598,8.358266479475143,1.810838995635681
0,WARNING,0.2506265664160401,1184.6992274736447,309.31300328579636,0.003582434191652199,460.6344591760969,0.0,0,0,12398556.064197708,75969.80601401598,8.358266479475143,1.810838995635681
0,WARNING,0.37593984962406013,1184.6989550439514,309.3128884152354,0.003590607082454526,461.6851695863442,0.0,0,0,12398556.064197708,75969.80601401598,8.358266479475143,1.810838995635681
0,WARNING,0.5012531328320802,1184.69868261908,309.31277354699324,0.0035987798285948107,462.73586061868536,0.0,0,0,12398556.064197708,75969.80601401598,8.358266479475143,1.810838995635681
0,WARNING,0.6265664160401002,1184.698410197193,309.31265868018613,0.003606952485207817,463.7865393611378,0.0,0,0,12398556.064197708,75969.80601401598,8.358266479475143,1.810838995635681
0,WARNING,0.7518796992481203,1184.6981377781162,309.3125438147322,0.003615125057507362,464.8372064840047,0.0,0,0,12398556.064197708,75969.80601401598,8.358266479475143,1.810838995635681
0,WARNING,0.8771929824561403,1184.6978653619801,309.3124289506926,0.003623297541593244,465.88786148591186,0.0,0,0,12398556.064197708,75969.80601401598,8.358266479475143,1.810838995635681
0,WARNING,1.0025062656641603,1184.6975929488115,309.31231408808026,0.0036314699366523516,466.93850426235474,0.0,0,0,12398556.064197708,75969.80601401598,8.358266479475143,1.810838995635681
0,WARNING,1.1278195488721803,1184.6973205386103,309.312199226895,0.0036396422426846855,467.9891348133607,0.0,0,0,12398556.064197708,75969.80601401598,8.358266479475143,1.810838995635681
0,WARNING,1.2531328320802004,1184.6970481313767,309.312084367137,0.0036478144596902456,469.0397531389571,0.0,0,0,12398556.064197708,75969.80601401598,8.358266479475143,1.810838995635681
0,WARNING,1.3784461152882206,1184.696775727111,309.31196950880616,0.0036559865876690315,470.09035923917116,0.0,0,0,12398556.064197708,75969.80601401598,8.358266479475143,1.810838995635681
